                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0807,                 2.5486,                 1.4439,                0.00333,                      1,                0.87058,                0.63709,                0.59083,                 2.8572,                 1.2301,                 0.0003,                 0.0003,                 0.0003
                      2,                0.98761,                 1.4181,                 1.3122,                      1,                0.62178,                  0.995,                0.83699,                0.62527,                 2.6537,                 1.2626,             0.00061591,             0.00061591,             0.00061591
                      3,                0.97701,                 1.2969,                 1.2726,                0.99682,                      1,                  0.995,                0.88607,                0.50387,                 1.7438,                 1.1297,             0.00092759,             0.00092759,             0.00092759
                      4,                0.99174,                 1.2043,                 1.2784,                0.88385,                0.95126,                0.97897,                0.68288,                0.79219,                  2.129,                 1.7658,              0.0012351,              0.0012351,              0.0012351
                      5,                 1.0576,                 1.1518,                 1.3467,                0.97258,                      1,                0.99378,                0.68877,                 1.0756,                 2.1423,                 2.0831,              0.0015383,              0.0015383,              0.0015383
                      6,                 1.0193,                 1.2441,                  1.304,                0.65407,                      1,                0.91502,                0.29559,                 1.7754,                 5.5339,                 3.7222,              0.0018373,              0.0018373,              0.0018373
                      7,                 1.0546,                 1.1154,                 1.2645,                0.66261,                  0.975,                0.81313,                0.65289,                0.72837,                 1.6744,                 1.4053,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.0034,                0.97551,                 1.2364,                0.64624,                   0.65,                0.76368,                0.55193,                0.98336,                 2.6891,                 1.6897,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.0051,                 1.0087,                 1.2578,                0.84595,                  0.975,                0.94736,                 0.7137,                0.80353,                 1.6166,                 1.3633,              0.0018944,              0.0018944,              0.0018944
                     10,                0.92552,                0.87356,                 1.1889,                0.71227,                  0.825,                 0.8822,                0.70331,                0.82828,                 1.1978,                 1.3992,              0.0018812,              0.0018812,              0.0018812
                     11,                0.94582,                0.86151,                 1.2312,                 0.6533,                  0.525,                0.54666,                0.42121,                0.82702,                 1.6724,                   1.48,               0.001868,               0.001868,               0.001868
                     12,                0.89371,                0.77343,                 1.1802,                0.93003,                0.99692,                0.97517,                0.77511,                0.82703,                  1.195,                 1.3184,              0.0018548,              0.0018548,              0.0018548
                     13,                0.87223,                0.73884,                 1.1672,                0.92592,                   0.95,                0.97633,                 0.7522,                0.68202,                0.97872,                 1.2451,              0.0018416,              0.0018416,              0.0018416
                     14,                0.96905,                0.77948,                 1.2037,                0.70068,                0.93648,                0.85439,                0.62404,                0.99089,                 1.4739,                  1.506,              0.0018284,              0.0018284,              0.0018284
                     15,                0.91986,                0.71599,                 1.2158,                0.97024,                      1,                0.99256,                0.85026,                0.59241,                0.70219,                 1.1916,              0.0018152,              0.0018152,              0.0018152
                     16,                0.86007,                0.68994,                 1.1862,                0.97547,                0.99413,                0.98963,                0.67377,                 1.2107,                0.84735,                 1.8088,               0.001802,               0.001802,               0.001802
                     17,                0.90438,                 0.7563,                 1.1975,                      1,                0.99491,                  0.995,                0.86579,                0.58097,                0.63084,                 1.1816,              0.0017888,              0.0017888,              0.0017888
                     18,                0.93071,                0.66125,                 1.2203,                0.99863,                      1,                  0.995,                0.86456,                0.55037,                0.44243,                 1.1593,              0.0017756,              0.0017756,              0.0017756
                     19,                0.84342,                0.62396,                 1.1588,                0.99836,                      1,                  0.995,                0.83986,                0.52378,                 0.4793,                 1.1356,              0.0017624,              0.0017624,              0.0017624
                     20,                0.89301,                0.69503,                 1.2238,                0.99853,                      1,                  0.995,                  0.885,                0.55627,                0.40904,                 1.1629,              0.0017492,              0.0017492,              0.0017492
                     21,                0.87257,                0.64107,                 1.1516,                0.99883,                      1,                  0.995,                0.85575,                0.55631,                 0.4726,                 1.1131,               0.001736,               0.001736,               0.001736
                     22,                0.85939,                0.60788,                 1.1723,                0.99817,                      1,                  0.995,                0.88334,                0.45352,                0.40737,                  1.034,              0.0017228,              0.0017228,              0.0017228
                     23,                0.78346,                0.55026,                 1.1361,                0.99758,                      1,                  0.995,                0.79068,                0.65993,                0.56587,                 1.2308,              0.0017096,              0.0017096,              0.0017096
                     24,                0.83163,                0.58666,                 1.1375,                0.99837,                      1,                  0.995,                0.86065,                0.49149,                0.38725,                 1.1105,              0.0016964,              0.0016964,              0.0016964
                     25,                0.85163,                0.59305,                 1.1286,                0.95024,                      1,                0.99378,                 0.8451,                0.55864,                0.50093,                 1.1541,              0.0016832,              0.0016832,              0.0016832
                     26,                0.86968,                0.63464,                 1.1901,                0.99863,                      1,                  0.995,                0.85007,                0.59251,                0.36579,                 1.1752,                0.00167,                0.00167,                0.00167
                     27,                0.88903,                0.58507,                 1.1546,                0.99859,                      1,                  0.995,                0.88236,                 0.4733,                0.34376,                 1.0573,              0.0016568,              0.0016568,              0.0016568
                     28,                0.83111,                0.53932,                 1.1264,                0.99851,                      1,                  0.995,                 0.8702,                0.53033,                 0.3654,                 1.1092,              0.0016436,              0.0016436,              0.0016436
                     29,                 0.9339,                0.61032,                 1.2114,                0.99852,                      1,                  0.995,                0.77053,                   0.82,                0.45377,                 1.4937,              0.0016304,              0.0016304,              0.0016304
                     30,                0.81085,                0.53683,                 1.1254,                0.99855,                      1,                  0.995,                0.85897,                0.54305,                0.45861,                 1.1133,              0.0016172,              0.0016172,              0.0016172
                     31,                0.77459,                0.50486,                 1.1196,                0.99854,                      1,                  0.995,                0.87658,                0.54517,                0.41437,                 1.1041,               0.001604,               0.001604,               0.001604
                     32,                0.87185,                0.56745,                  1.149,                0.99811,                      1,                  0.995,                0.83056,                 0.6759,                0.44249,                 1.2798,              0.0015908,              0.0015908,              0.0015908
                     33,                0.82686,                0.54908,                 1.1187,                0.99843,                      1,                  0.995,                0.87764,                0.51261,                0.37921,                 1.0884,              0.0015776,              0.0015776,              0.0015776
                     34,                0.78301,                0.49743,                  1.092,                 0.9983,                      1,                  0.995,                0.88469,                0.56759,                 0.3755,                 1.1219,              0.0015644,              0.0015644,              0.0015644
                     35,                0.79576,                0.51886,                 1.1229,                0.99867,                      1,                  0.995,                 0.9151,                 0.4306,                0.29472,                 1.0276,              0.0015512,              0.0015512,              0.0015512
                     36,                0.78907,                0.51472,                 1.1006,                0.99862,                      1,                  0.995,                0.92072,                0.42529,                 0.3086,                 1.0135,               0.001538,               0.001538,               0.001538
                     37,                0.77837,                0.49741,                 1.1005,                0.99863,                      1,                  0.995,                0.91277,                0.45644,                0.33289,                 1.0459,              0.0015248,              0.0015248,              0.0015248
                     38,                0.75385,                0.48321,                 1.0979,                0.99852,                      1,                  0.995,                0.90529,                0.40589,                0.32467,                 1.0003,              0.0015116,              0.0015116,              0.0015116
                     39,                0.77398,                0.51022,                 1.1025,                0.99868,                      1,                  0.995,                0.91032,                0.42445,                0.31929,                 1.0154,              0.0014984,              0.0014984,              0.0014984
                     40,                0.86786,                0.69267,                  1.113,                0.99863,                      1,                  0.995,                0.88531,                0.52233,                0.31928,                 1.0868,              0.0014852,              0.0014852,              0.0014852
                     41,                0.76252,                0.47932,                 1.1014,                 0.9981,                      1,                  0.995,                0.91444,                0.37969,                0.28323,                0.98317,               0.001472,               0.001472,               0.001472
                     42,                 0.8433,                0.52043,                 1.1638,                0.99843,                      1,                  0.995,                0.91268,                0.48103,                0.31328,                 1.0549,              0.0014588,              0.0014588,              0.0014588
                     43,                0.75713,                0.55278,                 1.1033,                0.99866,                      1,                  0.995,                0.86856,                0.51968,                0.29314,                 1.0846,              0.0014456,              0.0014456,              0.0014456
                     44,                0.77601,                0.48447,                 1.1176,                0.99857,                      1,                  0.995,                0.87549,                0.54766,                0.33838,                 1.1188,              0.0014324,              0.0014324,              0.0014324
                     45,                 0.8199,                0.52513,                   1.22,                0.99851,                      1,                  0.995,                0.88228,                0.46175,                 0.3202,                 1.0492,              0.0014192,              0.0014192,              0.0014192
                     46,                0.71901,                0.45761,                 1.0787,                0.99851,                      1,                  0.995,                0.90736,                0.45421,                0.33054,                 1.0478,               0.001406,               0.001406,               0.001406
                     47,                0.72087,                0.46548,                 1.0871,                0.99854,                      1,                  0.995,                0.88714,                0.45411,                0.33596,                  1.035,              0.0013928,              0.0013928,              0.0013928
                     48,                 0.7001,                0.44536,                 1.0772,                0.99862,                      1,                  0.995,                0.91949,                0.42674,                0.29575,                 1.0062,              0.0013796,              0.0013796,              0.0013796
                     49,                0.72181,                0.44093,                 1.0815,                0.99861,                      1,                  0.995,                0.88604,                0.46091,                  0.298,                  1.021,              0.0013664,              0.0013664,              0.0013664
                     50,                0.67573,                 0.4298,                 1.0619,                0.99851,                      1,                  0.995,                0.88676,                 0.5058,                0.29959,                 1.0564,              0.0013532,              0.0013532,              0.0013532
                     51,                0.67709,                 0.4356,                 1.0581,                0.99844,                      1,                  0.995,                0.87339,                0.55539,                0.37149,                 1.1109,                0.00134,                0.00134,                0.00134
                     52,                  0.788,                0.74779,                 1.1322,                0.99859,                      1,                  0.995,                0.90226,                0.45897,                0.30904,                 1.0475,              0.0013268,              0.0013268,              0.0013268
                     53,                0.67041,                 0.4325,                 1.0534,                0.99863,                      1,                  0.995,                0.90202,                0.49037,                0.30774,                 1.0818,              0.0013136,              0.0013136,              0.0013136
                     54,                 0.6666,                0.42971,                 1.0379,                0.99864,                      1,                  0.995,                0.89514,                0.43938,                0.26555,                 1.0137,              0.0013004,              0.0013004,              0.0013004
                     55,                0.70768,                0.46944,                 1.0643,                 0.9986,                      1,                  0.995,                0.88028,                0.49128,                0.30144,                 1.0622,              0.0012872,              0.0012872,              0.0012872
                     56,                0.72542,                0.43138,                 1.0906,                0.99863,                      1,                  0.995,                0.87469,                0.49392,                0.27253,                 1.0709,               0.001274,               0.001274,               0.001274
                     57,                0.69616,                0.43726,                 1.0409,                0.99853,                      1,                  0.995,                0.87704,                0.48695,                0.26776,                 1.0596,              0.0012608,              0.0012608,              0.0012608
                     58,                0.71235,                 0.4323,                 1.0929,                0.99857,                      1,                  0.995,                0.89644,                0.47646,                0.27565,                 1.0807,              0.0012476,              0.0012476,              0.0012476
                     59,                0.69287,                0.41846,                 1.0546,                0.99861,                      1,                  0.995,                0.89843,                0.42394,                0.26594,                  1.031,              0.0012344,              0.0012344,              0.0012344
                     60,                0.68624,                0.41938,                 1.0673,                0.99857,                      1,                  0.995,                0.91219,                 0.4095,                  0.284,                 1.0052,              0.0012212,              0.0012212,              0.0012212
